Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Sector
535,Aavegotchi,GHST,0.79,0.6,-2.8,-9.2,-0.5,1970244.0,51157239.0,52700000.0,40156513.0,Altcoin
536,Victoria VR,VR,0.01,0.5,-7.0,1.5,25.5,689470.0,5108261393.0,16800000000.0,40015370.0,Altcoin
537,Marinade,MNDE,0.17,0.0,-8.5,-15.3,276.2,639933.0,239023408.0,1000000000.0,39805511.0,Altcoin
538,COMBO,COMBO,0.56,0.2,-6.5,-18.1,2.8,3656446.0,71051748.0,100000000.0,39805634.0,Altcoin
539,Altura,ALU,0.06,-1.2,-6.0,-17.1,72.2,1109784.0,719755021.0,990000000.0,39595361.0,Altcoin
540,MicrovisionChain,SPACE,20.63,0.1,13.2,39.0,156.1,2192225.0,1914973.0,21000000.0,39506594.0,Infrastructure/L1/L2
541,Euro Tether,EURT,1.09,0.0,-1.0,0.2,2.1,2006447.0,36387340.0,400000000.0,39411002.0,Stablecoin
542,Alpha Quark,AQT,1.49,1.5,-2.1,-3.6,28.9,3799643.0,26640785.0,30000000.0,39399290.0,Altcoin
543,Aura Finance,AURA,1.0,-0.2,-0.3,-1.9,22.4,137381.0,39248833.0,67000000.0,39209542.0,DeFi
544,XCAD Network,XCAD,0.92,-0.2,-4.0,15.1,30.6,2717879.0,42821728.0,199000000.0,39186512.0,Infrastructure/L1/L2
545,Multichain,MULTI,2.02,0.1,-5.4,-8.6,-4.6,2979982.0,19363293.0,100000000.0,39113829.0,Infrastructure/L1/L2
546,peg-eUSD,PEUSD,0.96,-0.1,-0.5,-0.5,1.6,34585.0,40646802.0,40600000.0,38906098.0,Stablecoin
547,AscendEx,ASD,0.05,0.2,-1.9,1.0,-3.5,1547979.0,742983478.0,743000000.0,38901169.0,DeFi
548,Destablecoin HAY,HAY,1.0,0.1,-1.4,-0.2,-0.4,3596769.0,39044364.0,39200000.0,38891766.0,Altcoin
549,BakerySwap,BAKE,0.13,0.2,-8.6,-13.7,4.7,14598127.0,288705145.0,277000000.0,38773132.0,DeFi
550,TriasLab,TRIAS,3.86,0.3,0.3,-7.8,18.0,1313533.0,9980937.0,10000000.0,38544005.0,Altcoin
551,Magic Internet Money,MIM,0.99,1.1,-1.6,-0.7,-1.0,337447.0,38963572.0,163000000.0,38526221.0,Altcoin
552,Mossland,MOC,0.09,-0.2,-6.4,-10.4,16.6,4380109.0,404489688.0,500000000.0,38397234.0,Altcoin
553,DFI.money,YFII,966.18,-0.1,-2.2,-1.0,88.7,9061413.0,39732.0,40000.0,38371658.0,Altcoin
554,Aurora,AURORA,0.1,0.7,-1.7,4.5,101.8,916759.0,383630786.0,1000000000.0,38062455.0,Altcoin
555,LIF3 (OLD),LIF3,0.01,0.6,1.7,-7.5,18.3,536950.0,2575866293.0,8890000000.0,37526999.0,Altcoin
556,Snowbank,SB,234.33,0.0,0.0,0.0,0.0,0.0,159640.0,160000.0,37408432.0,Altcoin
557,Sentinel Protocol,UPP,0.08,0.2,-1.6,-11.3,11.0,2595477.0,491736120.0,500000000.0,37428753.0,Infrastructure/L1/L2
558,Ecoin,ECOIN,0.0,0.0,0.0,0.0,0.0,0.0,461121735617.0,1000000000000.0,36949313.0,Altcoin
559,Celo Dollar,CUSD,0.99,0.9,-2.2,-0.4,-0.4,207538.0,37118395.0,37100000.0,37029742.0,Stablecoin
560,CEEK Smart VR,CEEK,0.04,0.8,-2.0,-14.7,7.9,6532388.0,830725361.0,1000000000.0,37030451.0,Altcoin
561,HyperCash,HC,0.08,-0.2,2.3,2.7,43.4,179576.0,0.0,84000000.0,28123266.0,Altcoin
562,Automata,ATA,0.08,0.0,-4.9,-11.0,9.4,1726168.0,434909086.0,1000000000.0,36766949.0,Altcoin
563,0x Protocol,ZRX,0.39,-0.5,0.3,-27.4,80.1,55447475.0,92825000.0,1200000000.0,36529946.0,Infrastructure/L1/L2
564,PlatON Network,LAT,0.01,0.0,-2.6,-0.1,11.0,1102832.0,4634171266.0,10300000000.0,36526724.0,Infrastructure/L1/L2
565,Image Generation AI,IMGNAI,0.05,-0.4,4.1,35.0,121.9,539471.0,777193333.0,1000000000.0,36356564.0,Altcoin
566,DOLA,DOLA,1.03,1.3,2.8,3.0,3.2,150731.0,35393969.0,47200000.0,36226006.0,Altcoin
567,Polkastarter,POLS,0.36,0.8,0.2,1.4,26.3,1951303.0,99351432.0,100000000.0,36064111.0,Altcoin
568,NuNet,NTX,0.06,0.0,-0.5,1.3,82.4,148634.0,569910312.0,1000000000.0,36039408.0,Altcoin
569,LeverFi,LEVER,0.0,0.8,-3.5,-10.2,0.5,7612390.0,28652876014.0,35000000000.0,35963670.0,Altcoin
570,Clash of Lilliput,COL,0.44,0.5,-1.3,1.0,-5.2,56776.0,82074400.0,1000000000.0,35907197.0,Altcoin
571,Bean,BEAN,0.97,0.4,-1.8,2.8,-2.3,12296.0,36901601.0,36900000.0,35718669.0,Altcoin
572,Guild of Guardians,GOG,0.07,-0.2,-3.0,-10.1,21.7,266047.0,498243003.0,1000000000.0,35518712.0,Altcoin
573,xSUSHI,XSUSHI,1.43,0.8,1.2,5.1,84.3,45947.0,24762739.0,24800000.0,35486434.0,Altcoin
574,Klever,KLV,0.0,0.7,-4.1,-14.3,8.7,82454.0,9026655587.0,9030000000.0,35246748.0,Altcoin
575,Xido Finance,XIDO,1.24,0.0,-4.5,-2.8,-19.8,18829.0,28314464.0,100000000.0,35060569.0,DeFi
576,Aura BAL,AURABAL,9.89,0.0,2.7,-6.6,10.4,6015.0,3529856.0,3530000.0,34922035.0,Altcoin
577,Phoenix,PHB,0.76,1.1,-2.2,4.9,29.9,8098099.0,46071392.0,46100000.0,34888295.0,Altcoin
578,Zenon,ZNN,3.35,-0.9,32.3,448.0,368.2,542433.0,10378024.0,10400000.0,34782563.0,Altcoin
579,Telos,TLOS,0.09,0.0,-4.2,13.0,44.2,1016328.0,367749756.0,355000000.0,34656987.0,Altcoin
580,Reef,REEF,0.0,0.5,-4.2,-9.3,14.9,20112922.0,22821409581.0,22800000000.0,34571246.0,Altcoin
581,Wall Street Memes,WSM,0.02,0.0,-8.1,-17.1,-37.4,28483878.0,1811139429.0,2000000000.0,34460393.0,Altcoin
582,BarnBridge,BOND,3.61,0.0,-6.0,-16.0,-4.7,7281910.0,9526214.0,10000000.0,34355398.0,Altcoin
583,Keep3rV1,KP3R,69.44,0.1,-2.5,-2.7,48.2,7804911.0,493762.0,494000.0,34295662.0,Altcoin
584,AhaToken,AHT,0.01,-0.2,-3.9,-8.3,8.6,3514398.0,4424036536.0,7770000000.0,34212076.0,Altcoin
585,Stride Staked Atom,STATOM,10.77,0.6,-0.1,-6.7,32.2,14971808.0,3160112.0,3160000.0,34044207.0,Altcoin
586,JUNO,JUNO,0.43,-1.2,-6.0,-24.6,173.4,244217.0,79509431.0,106000000.0,33938988.0,DeFi
587,Fulcrom,FUL,0.02,-0.4,1.0,-12.0,100.3,37967.0,1859559179.0,20000000000.0,33756539.0,Altcoin
588,Solend,SLND,0.91,1.5,-1.5,-1.9,83.5,80964.0,37120572.0,100000000.0,33688603.0,Altcoin
589,Bella Protocol,BEL,0.57,0.8,-7.2,-12.5,2.5,4632100.0,59500000.0,100000000.0,33687291.0,Infrastructure/L1/L2
590,Osaka Protocol,OSAK,0.0,-0.1,-2.8,34.2,27.6,40351.0,761500000000000.0,762000000000000.0,33511484.0,Infrastructure/L1/L2
591,Refinable,FINE,0.0,0.1,-5.0,-6.0,51.9,98787.0,0.0,500000000.0,27281351.0,Altcoin
592,Zano,ZANO,2.4,1.2,8.1,150.7,157.8,54915.0,13994615.0,0.0,33196112.0,Altcoin
593,DeGate,DG,0.11,0.0,-2.0,-1.8,-6.5,83.93,292747740.0,1000000000.0,33175121.0,Altcoin
594,Komodo,KMD,0.24,-0.4,-4.3,-4.3,8.5,1358265.0,139054317.0,200000000.0,33028642.0,Altcoin
595,DeRace,DERC,0.29,-0.6,-1.4,25.6,85.5,436664.0,112920000.0,120000000.0,32868166.0,Altcoin
596,T-mac DAO,TMG,18.76,-0.1,-0.6,-2.4,-0.2,4155.0,1750000.0,1000000000.0,32830907.0,Altcoin
597,H2O Dao,H2O,0.15,0.2,-1.7,0.9,18.2,403879.0,225062277.0,1000000000.0,32800165.0,Altcoin
598,Zebec Protocol,ZBC,0.01,-0.7,4.6,9.5,30.2,12333295.0,3640485956.0,10000000000.0,32679059.0,Infrastructure/L1/L2
599,Dione,DIONE,0.0,0.2,8.7,-1.0,27.6,1102657.0,9430064280.0,9890000000.0,32624986.0,Altcoin
600,GHO,GHO,0.96,0.1,0.0,-0.2,-1.3,4490919.0,33924824.0,34200000.0,32424700.0,Altcoin
601,Vaiot,VAI,0.11,-1.0,-0.9,-7.2,110.3,1326815.0,295857918.0,400000000.0,32040737.0,Altcoin
602,Alchemix,ALCX,15.76,1.1,-1.8,0.7,23.9,4084339.0,2026995.0,2780000.0,31937492.0,Altcoin
603,Doge Killer,LEASH,296.74,0.7,0.8,-7.1,1.3,1435595.0,107526.0,108000.0,31914357.0,Memecoin
604,BENQI,QI,0.01,-0.4,-3.5,0.6,45.9,2790400.0,4202709176.0,7200000000.0,31738247.0,Altcoin
605,dForce USD,USX,0.99,-0.2,-0.2,-0.3,-10.5,171810.0,31797479.0,162000000.0,31635641.0,Stablecoin
606,sETH,SETH,2023.07,0.4,1.7,0.7,20.6,686734.0,15592.0,15600.0,31544270.0,Altcoin
607,Ethernity Chain,ERN,1.6,-0.1,-4.3,-6.7,8.1,2166353.0,19633262.0,30000000.0,31476141.0,Infrastructure/L1/L2
608,STFX,STFX,0.07,0.1,1.8,8.4,119.8,47350.0,431350043.0,990000000.0,31468305.0,Altcoin
609,IRISnet,IRIS,0.02,1.1,-1.4,-7.5,8.6,738122.0,1550895659.0,1990000000.0,31200906.0,Altcoin
610,Ternoa,CAPS,0.02,0.0,-10.1,29.7,52.5,667365.0,1369248124.0,2500000000.0,30902891.0,Altcoin
611,Niza Global,NIZA,0.01,1.5,23.3,34.0,153.9,3977295.0,2391904659.0,8750000000.0,30765759.0,Altcoin
612,Quickswap [OLD],QUICK,50.22,-0.4,-1.2,-8.2,14.1,19747.0,607000.0,1000000.0,30651059.0,DeFi
613,StarLink,STARL,0.0,1.7,0.9,-17.8,-30.1,4210527.0,9979143984086.0,10000000000000.0,30651239.0,Altcoin
614,SelfKey,KEY,0.01,0.5,-3.5,-9.9,-15.4,3909788.0,5999999954.0,6000000000.0,30634673.0,Altcoin
615,ROACORE,ROA,0.27,-1.7,-3.8,-25.6,-2.6,177356493.0,115046731.0,950000000.0,30612294.0,Altcoin
616,Measurable Data,MDT,0.05,0.7,4.7,4.9,23.4,10672090.0,606319736.0,1000000000.0,30587841.0,Altcoin
617,Phoenix Global [OLD],PHB,0.01,0.0,-11.8,-6.3,0.4,10.13,3386665894.0,3390000000.0,30494381.0,Altcoin
618,Biswap,BSW,0.08,0.7,-11.2,-2.3,32.7,18245882.0,373032214.0,435000000.0,30307507.0,DeFi
619,PIVX,PIVX,0.39,1.3,9.3,-18.3,97.1,8885613.0,78140399.0,78200000.0,30306609.0,Altcoin
620,Banana Gun,BANANA,12.54,-1.8,4.6,-16.8,111.2,750013.0,2400000.0,10000000.0,30120935.0,Altcoin
621,Beefy,BIFI,374.92,-0.3,-2.6,-3.5,6.5,1046998.0,80000.0,80000.0,29987770.0,Altcoin
622,DIA,DIA,0.27,0.1,-6.1,-8.1,11.8,4164740.0,110617604.0,169000000.0,29925942.0,Altcoin
623,ChainGPT,CGPT,0.1,0.4,5.4,99.1,126.5,10210651.0,304833136.0,999000000.0,29679629.0,Infrastructure/L1/L2
624,Bit2Me,B2M,0.01,0.4,0.9,-6.1,-3.4,53861.0,4843060000.0,5000000000.0,29548248.0,Altcoin
625,StakeWise,SWISE,0.09,-0.1,3.5,22.7,51.4,107158.0,323616482.0,1000000000.0,29534153.0,Altcoin
626,Quickswap,QUICK,0.05,0.2,-2.6,-10.9,17.7,2304938.0,607000000.0,890000000.0,29466289.0,DeFi
627,TokenFi,TOKEN,0.03,0.6,-3.2,-27.6,0.0,4929056.0,1167085423.0,10000000000.0,29431695.0,Altcoin
628,BitMEX,BMEX,0.29,0.0,-2.0,-8.6,3.8,47687.0,99750000.0,450000000.0,29417723.0,Altcoin
629,Rally,RLY,0.01,0.2,-0.1,-3.8,0.5,660964.0,5011892646.0,15000000000.0,29405089.0,Altcoin
630,Ampleforth Governance,FORTH,3.04,0.2,-2.5,-9.1,5.3,7506594.0,9564987.0,15300000.0,29155284.0,Altcoin
631,ECOx,ECOX,0.18,0.0,-14.1,-4.7,-27.7,94129.0,165506219.0,1000000000.0,29106039.0,Altcoin
632,cBAT,CBAT,0.0,-1.1,-3.3,-11.8,3.4,634357.0,6953363357.0,6950000000.0,29040562.0,Altcoin
633,Pirate Chain,ARRR,0.15,0.0,-1.4,-2.2,-6.5,46535.0,196213798.0,200000000.0,28953449.0,Infrastructure/L1/L2
634,JPEG'd,JPEG,0.0,0.2,-4.8,-9.9,-1.8,271812.0,50941948221.0,69400000000.0,28944578.0,Altcoin
635,CargoX,CXO,0.17,-1.7,2.0,-3.6,-6.0,106536.0,167160148.0,215000000.0,28905142.0,Altcoin
636,Electroneum,ETN,0.0,0.0,2.2,-5.4,-14.1,636747.0,17924015802.0,21000000000.0,28598776.0,Altcoin
637,Pluton,PLU,6.58,0.6,-1.5,-3.7,24.5,240631.0,4350183.0,20000000.0,28539212.0,Altcoin
638,INSTAR,INSTAR,0.01,23.3,-36.3,-46.1,-59.4,4186.0,0.0,300000000.0,51416115.0,Altcoin
639,CHEQD Network,CHEQ,0.08,0.3,3.5,82.1,156.6,552921.0,374647789.0,1120000000.0,28226142.0,Infrastructure/L1/L2
640,Clover Finance,CLV,0.04,0.5,-4.8,-6.2,18.1,3491972.0,741993651.0,1000000000.0,28127479.0,DeFi
641,SafeMoon,SFM,0.0,1.1,-7.7,-18.2,-70.8,33129.0,557254914092.0,1000000000000.0,27955569.0,Altcoin
642,Altered State Machine,ASTO,0.04,-1.6,-2.0,33.8,166.3,1056968.0,732269679.0,2380000000.0,27878360.0,Altcoin
643,BitShares,BTS,0.01,-0.3,-3.8,-9.4,4.6,1420676.0,2710195992.0,3000000000.0,27854079.0,Altcoin
644,KOGE,KOGE,8.08,0.0,-7.2,-5.5,7.2,199.0,3388229.0,3390000.0,27362485.0,Altcoin
645,Forta,FORT,0.12,0.2,-4.0,-3.0,27.9,300661.0,235867680.0,1000000000.0,27350328.0,Altcoin
646,Milady Meme Coin,LADYS,0.0,-0.4,-5.1,-10.8,-10.9,2503712.0,888000888000888.0,888000000000000.0,27323082.0,Altcoin
647,Contentos,COS,0.01,-0.1,-6.1,-6.6,15.9,2821107.0,5114004014.0,9900000000.0,26999040.0,Altcoin
648,Neurai,XNA,0.0,2.3,20.0,241.4,310.2,1624557.0,9665664736.0,9670000000.0,26900046.0,Altcoin
649,REI Network,REI,0.03,0.1,-4.0,-5.2,8.6,2052940.0,965885382.0,1000000000.0,26783418.0,Infrastructure/L1/L2
650,LTO Network,LTO,0.06,0.0,-5.0,-10.4,10.6,1026212.0,421776984.0,422000000.0,26782827.0,Infrastructure/L1/L2
651,TokenPocket Token,TPT,0.01,-0.2,-2.2,1.0,6.0,75393.0,3466457401.0,5900000000.0,26633167.0,Altcoin
652,Frontier,FRONT,0.3,1.3,-2.7,-10.1,9.0,11804461.0,87456250.0,90000000.0,26606710.0,Altcoin
653,AVA,AVA,0.5,-0.2,-5.7,-7.1,10.9,1355907.0,52745870.0,62100000.0,26541917.0,Altcoin
654,Rich Quack,QUACK,0.0,0.9,-3.1,-8.2,23.8,971068.0,4.38963831995257e+16,1e+17,26368367.0,Altcoin
655,Dopex,DPX,96.3,-0.4,-1.8,-11.1,17.3,410437.0,273284.0,500000.0,26245574.0,Altcoin
656,Metacade,MCADE,0.01,-4.0,0.5,99.1,150.2,628746.0,1843294819.0,2000000000.0,26123035.0,Altcoin
657,TOKPIE,TKP,0.33,0.0,-0.4,8.9,33.0,32903.0,79293847.0,100000000.0,26115970.0,Altcoin
658,Hydranet,HDN,0.16,0.8,15.7,37.8,88.8,663056.0,160640931.0,300000000.0,26028478.0,Altcoin
659,Epik Prime,EPIK,0.03,-1.6,30.0,92.6,508.9,1045179.0,938567307.0,2000000000.0,25739788.0,Altcoin
660,WAGMI Games,WAGMIGAMES,0.0,0.8,-4.5,33.7,90.0,1177712.0,1802103978001.0,2200000000000.0,25639618.0,Altcoin
661,Samoyedcoin,SAMO,0.01,-0.7,-3.1,-26.3,78.0,1167200.0,4071606174.0,4750000000.0,25599049.0,Altcoin
662,Cudos,CUDOS,0.0,1.4,5.9,37.1,85.7,431581.0,6516407553.0,9080000000.0,25540783.0,Altcoin
663,MELD,MELD,0.01,0.0,0.2,3.0,14.1,1455997.0,2157375490.0,4000000000.0,25445276.0,Altcoin
664,Instadapp,INST,1.41,-0.3,0.9,-0.7,16.5,120604.0,17946350.0,100000000.0,25376265.0,Altcoin
665,BitMart,BMX,0.14,0.3,-0.5,7.6,26.6,2010633.0,176130087.0,886000000.0,25319526.0,Altcoin
666,Astroport,ASTRO,0.06,-0.3,0.3,-10.6,337.7,165978.0,406071317.0,1100000000.0,25225329.0,Altcoin
667,ParaSwap,PSP,0.03,0.5,-1.6,-0.4,40.5,160764.0,756331048.0,2000000000.0,25190053.0,DeFi
668,Frax Price Index Share,FPIS,1.05,0.1,-6.5,9.6,-6.4,298917.0,23941144.0,100000000.0,25102225.0,DeFi
669,Qredo,QRDO,0.04,0.1,-0.2,0.2,24.3,833567.0,627271396.0,1620000000.0,25026061.0,Altcoin
670,xExchange,MEX,0.0,-0.3,-1.1,-10.5,47.5,81121.0,3910174472786.0,8050000000000.001,24994192.0,Altcoin
671,Enjinstarter,EJS,0.01,-0.4,-9.1,-14.5,90.4,344375.0,3827762989.0,4940000000.0,24936681.0,Altcoin
672,Adshares,ADS,0.64,-0.1,-3.0,-12.6,33.6,63276.0,38751952.0,38800000.0,24878213.0,Altcoin
673,League of Kingdoms,LOKA,0.22,-0.2,-7.2,-15.9,14.1,3926297.0,114916312.0,196000000.0,24782341.0,Altcoin
674,ViciCoin,VCNT,9.44,-0.1,-1.7,-0.7,13.8,209162.0,2612665.0,10000000.0,24583315.0,Altcoin
675,XSGD,XSGD,0.74,0.2,-0.5,0.3,1.9,10037073.0,33098661.0,33100000.0,24561088.0,Altcoin
676,FC Barcelona Fan Token,BAR,2.19,0.0,-4.8,-4.6,4.8,1368456.0,11178886.0,40000000.0,24487778.0,Altcoin
677,Paris Saint-Germain Fan Token,PSG,2.99,-0.1,-5.0,-3.8,5.1,1743055.0,8174271.0,19900000.0,24435032.0,Altcoin
678,Alephium,ALPH,0.45,3.8,14.8,106.9,155.8,561093.0,54447307.0,188000000.0,24415447.0,Altcoin
679,Planet IX,IXT,0.24,-0.3,-6.1,-29.9,211.3,283633.0,101610267.0,153000000.0,24320953.0,Altcoin
680,Big Time,BIGTIME,0.16,0.9,-0.2,-27.5,8.8,18041844.0,152500000.0,5000000000.0,24322823.0,Altcoin
681,Sai,SAI,8.87,-0.6,-1.7,-9.4,3.3,108.0,2725413.0,2730000.0,24312721.0,Altcoin
682,Wing Finance,WING,6.31,0.5,-7.5,-5.8,11.9,3963505.0,3818035.0,4940000.0,24176831.0,DeFi
683,AQTIS,AQTIS,0.01,-2.6,10.0,-12.1,312.9,162427.0,1994990000.0,3000000000.0,23966575.0,Altcoin
684,Taboo,TABOO,0.0,-0.6,-0.7,-14.4,151.5,1096535.0,9782678080.0,9780000000.0,23949830.0,Altcoin
685,APX,APX,0.05,-0.9,6.1,12.4,43.2,1465905.0,434585698.0,4019999999.9999995,23928404.0,Altcoin
686,TROY,TROY,0.0,0.5,-8.5,-12.7,4.3,1832490.0,9750000000.0,10000000000.0,23785365.0,Altcoin
687,Cornucopias,COPI,0.03,-0.2,-3.7,-8.8,14.8,131750.0,818386888.0,3840000000.0,23717750.0,Altcoin
688,MOON (Ordinals),MOON,0.24,0.0,0.1,0.0,-0.8,13735.0,100000000.0,100000000.0,23707874.0,Altcoin
689,Elastos,ELA,1.11,0.9,-2.1,-4.5,-11.8,421829.0,21364395.0,0.0,23622592.0,Altcoin
690,Alpaca Finance,ALPACA,0.16,0.2,-5.0,-12.0,-5.4,3455630.0,150341820.0,150000000.0,23587139.0,DeFi
691,Revest Finance,RVST,0.29,-11.4,41.7,33.6,231.8,1089192.0,80403241.0,100000000.0,23556665.0,DeFi
692,Stader,SD,0.72,0.1,0.4,-6.4,26.5,993021.0,32433878.0,150000000.0,23493424.0,Altcoin
693,Metahero,HERO,0.0,-1.0,-19.3,-16.7,20.3,1851768.0,7866213223.0,9770000000.0,23476750.0,Altcoin
694,Opulous,OPUL,0.09,-0.5,-2.3,7.4,80.4,932659.0,259282432.0,500000000.0,23442115.0,Altcoin
695,Hegic,HEGIC,0.02,4.8,31.9,35.2,67.9,589456.0,1077684725.0,1080000000.0,23256825.0,Altcoin
696,Lybra,LBR,1.24,-0.6,6.3,-14.1,31.3,2044864.0,18808594.0,45400000.0,23188157.0,Altcoin
697,Poollotto.finance,PLT,1.55,-0.1,-10.0,5.9,-9.8,1658.0,14969975.0,19300000.0,23157465.0,DeFi
698,Camelot Token,GRAIL,1435.54,0.0,-3.0,-15.0,101.3,1379111.0,16030.0,74800.0,23100070.0,Altcoin
699,AirDAO,AMB,0.01,0.7,-6.5,-15.3,-11.6,3210491.0,3072310854.0,6500000000.0,23099267.0,Altcoin
700,Across Protocol,ACX,0.08,0.1,7.0,24.7,72.4,349135.0,284763336.0,1000000000.0,23096124.0,Infrastructure/L1/L2
701,Vyvo Smart Chain,VSC,0.01,0.2,0.3,-1.0,3.5,608645.0,1876030845.0,20000000000.0,23046355.0,Infrastructure/L1/L2
702,Carbon Browser,CSIX,0.08,-1.1,-9.0,59.6,283.8,7680523.0,288257906.0,1000000000.0,22970181.0,Altcoin
703,RFOX,RFOX,0.01,-0.3,1.0,-9.6,21.9,238537.0,1844906338.0,1990000000.0,22862438.0,Altcoin
704,flexUSD,FLEXUSD,0.14,0.7,-4.1,-7.5,-5.1,4.43,166350245.0,166000000.0,22550708.0,Stablecoin
705,Onyxcoin,XCN,0.0,0.6,-1.5,-3.4,14.8,2143295.0,26673778543.0,48500000000.0,22408012.0,Altcoin
706,Optimus AI,OPTI,0.22,-0.6,12.6,19.0,131.4,450026.0,100000000.0,100000000.0,22385276.0,Altcoin
707,Mango,MNGO,0.02,0.3,0.1,-18.6,17.0,145546.0,1155193312.0,5000000000.0,22363501.0,Altcoin
708,Platypus USD,USP,0.5,0.0,0.0,0.0,0.0,0.0,65437889.0,65400000.00000001,32870940.0,Stablecoin
709,Tranchess,CHESS,0.16,1.1,-6.8,0.1,29.6,12083419.0,138869649.0,300000000.0,22162398.0,Altcoin
710,GXChain,GXC,0.29,-0.1,-5.1,-5.3,0.1,1230.0,75000000.0,100000000.0,22057614.0,Infrastructure/L1/L2
711,ArbDoge AI,AIDOGE,0.0,0.1,-1.5,-6.5,-16.4,2964903.0,1.83247762510786e+17,1.83e+17,22026084.0,Memecoin
712,Firo,FIRO,1.68,0.1,-4.3,-8.7,8.6,778380.0,13052538.0,21400000.0,21966127.0,Altcoin
713,XPR Network,XPR,0.0,0.3,-2.3,4.1,49.6,1519004.0,23941442887.0,28400000000.0,21946047.0,Infrastructure/L1/L2
714,Pepe 2.0,PEPE2.0,0.0,-1.7,-16.0,-0.4,285.6,16341967.0,420690000000000.0,421000000000000.0,21774872.0,Altcoin
715,Shiba Saga,SHIA,0.08,-0.4,8.5,-10.7,37.8,509258.0,280080209.0,2000000000.0,21723434.0,Memecoin
716,cUNI,CUNI,0.11,-1.5,10.7,4.9,30.3,767095.0,190908265.0,191000000.0,21670281.0,Altcoin
717,Cosplay Token,COT,0.03,0.1,1.3,3.4,11.2,178782.0,840635026.0,1000000000.0,21619649.0,Altcoin
718,Harvest Finance,FARM,32.26,-0.1,-3.6,2.7,35.0,1795028.0,669978.0,705000.0,21613574.0,DeFi
719,KardiaChain,KAI,0.0,-0.3,-11.0,-7.9,-8.2,156778.0,4775000000.0,5000000000.0,21499178.0,Infrastructure/L1/L2
720,Bytom,BTM,0.01,2.5,-9.2,-23.0,-60.7,768509.0,1800654319.0,2100000000.0,21496927.0,Altcoin
721,Enzyme,MLN,14.78,0.3,-4.9,-9.2,-2.2,3467273.0,1453964.0,2370000.0,21487096.0,Altcoin
722,Kishu Inu,KISHU,0.0,-0.9,-2.8,-7.5,-19.6,794946.0,9.68349296022846e+16,0.0,21377573.0,Altcoin
723,NULS,NULS,0.2,0.1,-2.6,-5.3,11.8,1693214.0,104791516.0,126000000.0,21346059.0,Altcoin
724,AdEx,ADX,0.15,0.3,-4.3,-6.4,8.5,2882485.0,142557534.0,150000000.0,21318072.0,DeFi
725,MAI,MIMATIC,0.77,0.0,0.1,1.1,3.4,145815.0,27563987.0,304000000.0,21302245.0,Altcoin
726,Dejitaru Tsuka,TSUKA,0.02,-1.1,-2.8,14.4,32.4,372785.0,1000000000.0,1000000000.0,21289576.0,Altcoin
727,Petals,PTS,0.0,-0.1,-1.7,-0.1,-2.6,25213.0,14124978750.0,100000000000.0,21255096.0,Altcoin
728,Radiant,RXD,0.0,4.2,11.2,40.3,85.1,151665.0,8368667953.0,21000000000.0,21219630.0,Altcoin
729,Gamium,GMM,0.0,-0.8,-5.9,-18.0,33.9,340298.0,36925970004.0,37900000000.0,21197342.0,Altcoin
730,Bonfida,FIDA,0.19,-0.4,-3.5,-7.3,19.2,5952987.0,110521999.0,1000000000.0,21110155.0,Altcoin
731,Pintu,PTU,0.29,0.2,1.8,0.6,11.5,15120.0,73700973.0,300000000.0,21103252.0,Altcoin
732,Globiance Exchange,GBEX,0.0,0.0,-5.3,-13.7,5.0,257884.0,378355950568613.0,500000000000000.0,20993142.0,Altcoin
733,Orion,ORN,0.61,-0.4,-3.7,-14.9,20.4,2087225.0,34433074.0,100000000.0,20981439.0,Altcoin
734,Silo Finance,SILO,0.08,0.2,4.8,5.5,50.6,98446.0,273615313.0,1000000000.0,20880720.0,DeFi
735,Velo,VELO,0.0,0.4,-2.8,-2.0,22.6,2316711.0,7390475595.0,24000000000.0,20802072.0,Altcoin
736,Boson Protocol,BOSON,0.19,0.3,-1.2,-7.2,8.4,638447.0,109125191.0,200000000.0,20776402.0,Infrastructure/L1/L2
737,Ferrum Network,FRM,0.08,2.5,-0.3,86.8,212.4,640126.0,254818018.0,597000000.0,20703359.0,Infrastructure/L1/L2
738,AXEL,AXEL,0.17,0.3,17.9,4.8,14.7,4062.0,122884920.0,1000000000.0,20581488.0,Altcoin
739,ParagonsDAO,PDT,0.16,1.6,15.4,20.4,110.2,314307.0,124204333.0,163000000.0,20535521.0,Altcoin
740,Domani Protocol,DEXTF,0.32,-2.5,-2.3,47.7,37.5,172452.0,64807235.0,100000000.0,20471120.0,Infrastructure/L1/L2
741,HILO,HILO,0.23,0.1,-8.6,-25.1,-7.8,180186.0,86469543.0,96800000.0,20278507.0,Altcoin
742,HAVAH,HVH,0.02,-0.3,-2.3,-4.9,-14.1,224455.0,941132398.0,5110000000.0,20204360.0,Altcoin
743,Swarm,BZZ,0.32,1.0,8.0,6.2,5.2,940171.0,62444798.0,62400000.0,20150862.0,Altcoin
744,Advertise Coin,ADCO,0.45,0.4,1.6,0.8,20.5,6610.0,45000000.0,50000000.0,20061728.0,Altcoin
745,agEUR,AGEUR,1.09,-0.2,-0.5,0.6,2.3,1413705.0,18400096.0,18400000.0,20002450.0,Altcoin
